consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria,score_referencia,tipo_cenario,caso_fronteira,caso_raro,outlier_plausivel,lote_geracao
207.630000,False,8,CASA,3,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
217.670000,False,9,CASA,2,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
542.120000,True,27,COMERCIO,11,INEFICIENTE,97,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
292.550000,False,20,COMERCIO,2,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
403.880000,True,12,CASA,10,INEFICIENTE,70,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
281.740000,False,5,CASA,10,MODERADO,31,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
250.800000,False,11,APARTAMENTO,8,MODERADO,48,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
288.280000,False,8,COMERCIO,4,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
213.850000,False,13,APARTAMENTO,2,EFICIENTE,26,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
257.290000,False,9,APARTAMENTO,10,MODERADO,52,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
325.730000,False,6,COMERCIO,12,EFICIENTE,30,FRONTEIRA,True,False,False,energiai-v2-seed-42-size-5000
331.160000,False,25,COMERCIO,2,EFICIENTE,27,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
246.280000,False,10,CASA,2,EFICIENTE,15,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
201.700000,False,5,ESCRITORIO,4,EFICIENTE,2,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
372.990000,False,17,CASA,9,INEFICIENTE,61,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
279.490000,False,9,CASA,6,EFICIENTE,28,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
477.820000,True,19,CASA,11,INEFICIENTE,96,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
325.200000,False,25,COMERCIO,2,EFICIENTE,26,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
162.300000,False,3,APARTAMENTO,3,EFICIENTE,6,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
380.470000,True,9,OUTRO,5,MODERADO,35,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
289.560000,True,12,APARTAMENTO,8,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
193.210000,True,3,APARTAMENTO,5,EFICIENTE,25,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
532.880000,False,16,INDUSTRIA,10,EFICIENTE,20,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
408.800000,True,16,COMERCIO,7,MODERADO,51,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
298.010000,False,20,CASA,2,MODERADO,33,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
159.770000,False,7,APARTAMENTO,1,EFICIENTE,7,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
354.430000,True,21,CASA,3,MODERADO,53,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
367.190000,True,16,APARTAMENTO,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
265.460000,True,10,APARTAMENTO,6,MODERADO,52,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
412.300000,True,14,ESCRITORIO,10,MODERADO,49,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
264.000000,False,5,CASA,7,EFICIENTE,22,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
239.000000,True,12,APARTAMENTO,2,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
390.000000,True,18,APARTAMENTO,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
230.170000,False,6,APARTAMENTO,10,MODERADO,41,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
